text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None
its about time blacks realised the women who started blm were jew women jews will use you all destroy your families to keep jews on top,0.6810119152069092,0.06174960732460022,0.257238507270813,0.7492861747741699,0.19037024676799774,0.9301347136497498,0.06376265734434128,0.020751623436808586,0.07204925268888474
the islamic and sharia controlled middle eastern countries bitch and complain about the you banning muslims really but they like to do it hmm what that word that sums this up starts with an h islam islamism muslims muslim banislam banmuslims maga gabfam americafirst trump,0.5638932585716248,0.037944894284009933,0.3981618583202362,0.996933102607727,0.04107634723186493,0.8379809260368347,0.09863901883363724,0.05151831731200218,0.15809080004692078
so now you are calling yourself whoever agrees with you severely retarded baboons,0.036559682339429855,0.000998427509330213,0.9624419212341309,0.9948667287826538,0.09348302334547043,0.045112211257219315,0.15483693778514862,0.27698037028312683,0.16376042366027832
a million thumbs up we need museums of victims there have been so many as is we do not even have many online memorials for white victims of black violence the memorial pages for victims of illegal alien crime are very simplistic wichita massacre victims deserve a monument,0.0012442368315532804,0.9788689017295837,0.01988687925040722,0.8073570728302002,0.14382781088352203,0.008824736811220646,0.012006665579974651,0.100485660135746,0.579336404800415
these your kike bosses too feldman is cernovichs bossman he the most anti white kike on twitter,0.9989209175109863,0.0005291916313581169,0.0005499044200405478,0.9985937476158142,0.05500413849949837,0.9801863431930542,0.07327914983034134,0.013388830237090588,0.026080941781401634
trump has no use for immigrants but dictators are fine wow,0.008356377482414246,0.8741213083267212,0.11752231419086456,0.6663864850997925,0.07789671421051025,0.02188011445105076,0.025562379509210587,0.8485538363456726,0.2507570683956146
v2 challs kroc is scared of comp so do not be a dumb sweater retard,0.0012959635350853205,0.0038211459759622812,0.9948829412460327,0.9981071949005127,0.02710184082388878,0.010505410842597485,0.07336045801639557,0.2601868212223053,0.4933726489543915
i just know that gays with airpods are going to cheat on me,0.009040048345923424,0.7625912427902222,0.22836869955062866,0.9991791844367981,0.02116331085562706,0.018330149352550507,0.8282409310340881,0.012397286482155323,0.1723194122314453
she will blame it on jews or trump i bet,0.18444134294986725,0.3304656147956848,0.48509302735328674,0.5834038257598877,0.04855554550886154,0.8747767806053162,0.03358817100524902,0.047028250992298126,0.09133361279964447
you might be a racist if you buy green olives in a jar but pass on the black olives in the can,0.002601957879960537,0.9652163982391357,0.03218165040016174,0.28614184260368347,0.2716291844844818,0.01341310702264309,0.02043183147907257,0.025786446407437325,0.4650653600692749
i wish you were gay,0.0029973972123116255,0.9276418685913086,0.06936074793338776,0.9984481334686279,0.026366574689745903,0.0183419082313776,0.6328123807907104,0.01229134015738964,0.2846563160419464
reminder that about out of undocumented immigrants in the us are from places other than central america around of that are white yet the majority of ice detainees are latinx so do not try to say this is not about race,0.0012575715081766248,0.9799565076828003,0.018785906955599785,0.7843350172042847,0.13535326719284058,0.01048497948795557,0.018346577882766724,0.39511099457740784,0.46245694160461426
lol finally one nigglet out of millions learned how to use white people invention,0.9981695413589478,0.0009790667099878192,0.0008513371576555073,0.9972749352455139,0.9397168755531311,0.03541937842965126,0.06560306996107101,0.008161596953868866,0.046423863619565964
you fucking kike troll eat shit with your nazi obvious cuckfaggory,0.9993783235549927,0.00013553746975958347,0.000486023782286793,0.9988669157028198,0.14065679907798767,0.963773250579834,0.19630956649780273,0.018539538607001305,0.01980050653219223
fuck you are a faggot lol that really the best you got,0.014909794554114342,0.01919655129313469,0.965893566608429,0.9992128610610962,0.02085139788687229,0.014893164858222008,0.9044228792190552,0.027307648211717606,0.11716972291469574
found a publisher that publishes work only by lesbians how would a person screen for that sort of qualification is there a special lesbian test that i am unaware of maybe it like a blood test but gay,0.0015763465780764818,0.9655492901802063,0.03287434205412865,0.997313916683197,0.022897353395819664,0.017966696992516518,0.7378602027893066,0.011479835957288742,0.30104896426200867
that funny hoodbilly i have always referred to myself as ghetto hick because halfway through my childhood my parents moved me from the city to the country i am a white girl who can rap and change brakes on a muddin truck hehe,0.42567068338394165,0.06508825719356537,0.5092411041259766,0.976159930229187,0.7905717492103577,0.017675204202532768,0.048987071961164474,0.04084831103682518,0.12557239830493927
getting an all white kitty tomorrow,0.0004061294312123209,0.9976183772087097,0.0019754688255488873,0.09582601487636566,0.19455809891223907,0.01220801193267107,0.036149460822343826,0.030144140124320984,0.7537498474121094
buddhists shit on kike filth religions so do most of the world we will kill kikes christfags hajjis as easy as stepping on ants,0.9992077946662903,0.00027424166910350323,0.0005180329899303615,0.9975614547729492,0.06393807381391525,0.9844744205474854,0.10949690639972687,0.017008302733302116,0.02316155470907688
you can not expect a minority immigrant refugee to understand the intricacies of american racist rhetoric,0.0016031174454838037,0.9519127011299133,0.04648417979478836,0.33682671189308167,0.09655332565307617,0.01901801861822605,0.016978584229946136,0.5759296417236328,0.3371126353740692
nigger better keep his head down lolol an audit he wants an audit he will get,0.9968495965003967,0.0027406346052885056,0.00040968970279209316,0.9987360835075378,0.9582338333129883,0.024314602836966515,0.02403324283659458,0.008164395578205585,0.07026418298482895
welcome to gabfam perhaps your interactions here will convince you to stop using that social media ghetto instagram not sure we have a freedom based alternative yet keep looking i will speakfreely computefreely,0.007694927975535393,0.4089862108230591,0.5833189487457275,0.7260076999664307,0.27505025267601013,0.013492017053067684,0.01906266063451767,0.08492527157068253,0.4290618896484375
some nigger that played in the nfl,0.9978298544883728,0.0017923701088875532,0.00037782886647619307,0.9986732006072998,0.954855740070343,0.029554912820458412,0.022918961942195892,0.0077095660381019115,0.05821830779314041
texans pay him an annual salary of he advocates black violence against whites meet professor tommy curry of texas a m gig them aggies,0.019116852432489395,0.8829854130744934,0.09789770096540451,0.8251879215240479,0.724615752696991,0.006295537576079369,0.021037086844444275,0.018587268888950348,0.44366827607154846
this bitch kenny got my key i can t emuss lock the damn door,0.0030187945812940598,0.14350691437721252,0.8534743189811707,0.9988915324211121,0.029761163517832756,0.010082107037305832,0.29712504148483276,0.04842749610543251,0.43770766258239746
and you can be racist to everyone by basically saying all white people are racist because of their skin colour is racist itself you need to stop and think,0.00021867617033421993,0.9980790615081787,0.0017022123793140054,0.5819219350814819,0.17260637879371643,0.011489362455904484,0.027092430740594864,0.029774416238069534,0.7579636573791504
need burnol btw you seem to be literate enough to read the word refugee in that sentence and if you can not may allah subhanu wata ala help you,0.0027484335005283356,0.9806709289550781,0.01658061519265175,0.5819607377052307,0.051039762794971466,0.0629950761795044,0.010664025321602821,0.4530077874660492,0.5292233824729919
post that kike star again and you can wear them in the oven,0.9976682066917419,0.0012287793215364218,0.0011029117740690708,0.9979938268661499,0.021637525409460068,0.983730673789978,0.04962287098169327,0.014125506393611431,0.03712598606944084
about half of the nearly immigrants who were swept up in the raid are now being detained at immigration prisons outside the state far from their loved ones and they are facing deportation even further away from their homes,0.00790591724216938,0.9084342122077942,0.08365985751152039,0.7183668613433838,0.041923731565475464,0.03175649791955948,0.028747711330652237,0.8125489354133606,0.30083349347114563
i redownloading tinder which is a mistake in itself and litterally no one on there is cute i hate this redneck state,0.007842671126127243,0.9101085662841797,0.08204877376556396,0.5414062142372131,0.23290742933750153,0.007384738884866238,0.014498317614197731,0.10549093782901764,0.5246211886405945
is your ultimate solution leading up to a final one nazis going to nazi,0.0031026210635900497,0.9898045063018799,0.00709292758256197,0.99201899766922,0.02140350081026554,0.05534427985548973,0.030217472463846207,0.07119512557983398,0.6311643719673157
crawled out bitch i have been here since the doors opened why do not you take your kike ass back to twitter where you belong,0.998174786567688,0.00029485439881682396,0.0015303067630156875,0.9991686344146729,0.06390780210494995,0.9295008182525635,0.2595394551753998,0.019579695537686348,0.02475818619132042
f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity,0.9839602112770081,0.0015043242601677775,0.014535506255924702,0.9987082481384277,0.14512166380882263,0.5837268233299255,0.07067730277776718,0.050770509988069534,0.08203667402267456
remember christ tried to save the jews and the bastards killed him because he challenged their corrupt authority over what was supposed to be god people god foresaked the jews via christ even god is sick and tired of jews,0.8917953372001648,0.004787550773471594,0.10341707617044449,0.9910829067230225,0.06551327556371689,0.9399791359901428,0.06497535854578018,0.03619947284460068,0.046852368861436844
you should never take anything from a beaner butthole i will grant that,0.998646080493927,0.00022690623882226646,0.0011270364047959447,0.9962778687477112,0.9580876231193542,0.05067436769604683,0.09672993421554565,0.022161204367876053,0.021507572382688522
hazard is a fat slut,0.007140559609979391,0.20580479502677917,0.7870546579360962,0.9989929795265198,0.016998397186398506,0.005598641466349363,0.6069294214248657,0.02134343609213829,0.2541086971759796
well they do line to brag about their involvement in gay rights and they practically own tv,0.002583814086392522,0.9545155167579651,0.0429006963968277,0.9987642765045166,0.020935457199811935,0.0147161353379488,0.6551472544670105,0.01026991568505764,0.3203064799308777
he should resign and then commit hara kiri in front of those bloody thirsty muslim scumbag camel jockeys,0.9954763054847717,0.0004353816621005535,0.00408825371414423,0.9095367193222046,0.15797066688537598,0.972446084022522,0.08306063711643219,0.019699448719620705,0.025294607505202293
guilty until proven innocent unless you are a jew a nigger or a lover of both,0.9991897940635681,0.0005814570467919111,0.00022872704721521586,0.9964569211006165,0.9292731285095215,0.3361331522464752,0.025678321719169617,0.008572908118367195,0.02618526853621006
even their fellow asians hate them,0.0032765280921012163,0.9732459187507629,0.023477552458643913,0.20700660347938538,0.5674802660942078,0.022866996005177498,0.028172295540571213,0.04520830139517784,0.33735230565071106
you are correlating tourist numbers with refugee policy possibly one of the dumbest arguments i have seen,0.0015752398176118731,0.9445110559463501,0.05391368269920349,0.5888587832450867,0.04268425703048706,0.019709281623363495,0.017696484923362732,0.3454288840293884,0.4673909842967987
as women we are already undermined in a sense so you ll meet your match with this one,0.0007872076239436865,0.988858699798584,0.01035404670983553,0.3392467200756073,0.04579576104879379,0.01020792219787836,0.6231025457382202,0.01771005056798458,0.5118482708930969
either failed in english or a faggot on these streets me i can not reply to such a stupid message tbh,0.038570523262023926,0.02704353630542755,0.9343859553337097,0.9990567564964294,0.021282924339175224,0.011272454634308815,0.8726307153701782,0.02163468673825264,0.12889911234378815
go on vacation for a week come back and we all just fucking hate queer eye and kale,0.0010649493196979165,0.9837602376937866,0.015174869447946548,0.9992469549179077,0.022315608337521553,0.011062812991440296,0.12206397950649261,0.019958145916461945,0.8078478574752808
merkel too also pro dae sh refugees,0.003064913209527731,0.968937337398529,0.027997786179184914,0.283383846282959,0.042783208191394806,0.031082171946763992,0.027381829917430878,0.6291290521621704,0.3119799792766571
good point let us call them white supremacists and nazis that what they have always represented in our society end pc culture breitbart,0.0006313644116744399,0.9961723685264587,0.0031962411012500525,0.9556741118431091,0.03262382000684738,0.020737163722515106,0.02361283451318741,0.044033218175172806,0.6748420596122742
not to slut shame anyone but you all some hoes for october,0.008443652652204037,0.39984795451164246,0.5917084217071533,0.9986439347267151,0.01950390450656414,0.006607713643461466,0.7633554339408875,0.013599698431789875,0.2303597629070282
my family owned but we also fought for the union i really wish they would make a real proposal for reparations at some point i would not be able to contain myself if once everything was calculated every nigger got like,0.995917022228241,0.0034740783739835024,0.0006088907830417156,0.9982764720916748,0.9428895115852356,0.029048427939414978,0.02057637646794319,0.014930224046111107,0.06602930277585983
c mon dude that retarded china is huge and has b ppl that insanely stupid,0.0009606884559616446,0.006430183537304401,0.9926090836524963,0.9970894455909729,0.03134056553244591,0.01028025895357132,0.04766817018389702,0.26647037267684937,0.4963061213493347
ovomit the gay muzzie did not want to defeat his cousins,0.9749550819396973,0.004205026663839817,0.020839976146817207,0.9848740696907043,0.058736395090818405,0.9047017097473145,0.6057156324386597,0.007744634989649057,0.05400548875331879
johnson view by contrast was reasonable and genuine even if i disagree with him vox is pulling some dorklord machiavellian master plan bullshit for whatever reason it obvious moronic and tiresome fuck off with your triracial alt west milo apologetics gamergate bullshit you fucking spic,0.9964531660079956,0.0004198335518594831,0.003127023344859481,0.9990028738975525,0.6246586441993713,0.2801351249217987,0.1516939252614975,0.05437431111931801,0.03165348991751671
this is not funny i am lactating samantha i need you to film it or else ching chong woman will drown in auntie tit milk,0.016385527327656746,0.9338845610618591,0.04972991719841957,0.9868515133857727,0.325676292181015,0.003886761609464884,0.17941467463970184,0.027272643521428108,0.25713440775871277
i am really just an observer of all this stuff but queer twitter discourse one week will be like trans lesbians need to let straight bi trans women talk about being attracted to men but then the next its all never talk about sex in front of ace people,0.0004865731461904943,0.9947457313537598,0.004767723847180605,0.9960666298866272,0.027225133031606674,0.01022433489561081,0.47744643688201904,0.016876215115189552,0.5931670665740967
